,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
3177443,2,2025-08-17 10:18:07,2025-08-17 10:38:45,,9.38,,,76,196,0,22.66,0.0,0.5,0.0,0.0,1.0,24.16,,,0.0
1507918,2,2025-08-18 12:44:34,2025-08-18 12:55:09,1.0,1.89,1.0,N,43,238,1,12.8,0.0,0.5,3.36,0.0,1.0,20.16,2.5,0.0,0.0
1336063,1,2025-08-16 10:30:32,2025-08-16 10:36:05,1.0,1.3,1.0,N,234,48,1,7.9,3.25,0.5,2.55,0.0,1.0,15.2,2.5,0.0,0.75
1823488,2,2025-08-21 20:12:30,2025-08-21 20:18:58,1.0,0.52,1.0,N,107,113,1,7.2,1.0,0.5,2.59,0.0,1.0,15.54,2.5,0.0,0.75
1474917,2,2025-08-17 21:21:48,2025-08-17 21:35:58,1.0,3.08,1.0,N,186,87,1,16.3,1.0,0.5,4.41,0.0,1.0,26.46,2.5,0.0,0.75
2440635,7,2025-08-28 23:36:05,2025-08-28 23:36:05,2.0,7.52,1.0,N,132,93,2,29.6,0.0,0.5,0.0,0.0,1.0,33.85,0.0,1.75,0.0
1235723,2,2025-08-15 03:36:25,2025-08-15 03:54:11,2.0,4.9,1.0,N,255,164,1,23.3,1.0,0.5,5.81,0.0,1.0,34.86,2.5,0.0,0.75
1783832,1,2025-08-21 14:47:05,2025-08-21 15:50:14,1.0,15.2,5.0,N,163,132,2,85.0,0.75,0.0,0.0,6.94,1.0,93.69,0.0,0.0,0.75
812135,1,2025-08-10 13:18:37,2025-08-10 13:20:29,1.0,0.0,1.0,N,246,246,1,3.7,3.25,0.5,1.0,0.0,1.0,9.45,2.5,0.0,0.75
1028782,2,2025-08-12 23:15:59,2025-08-12 23:26:18,2.0,2.24,1.0,N,186,170,1,12.8,1.0,0.5,0.0,0.0,1.0,18.55,2.5,0.0,0.75
3534931,2,2025-08-30 22:25:23,2025-08-30 22:33:37,,1.61,,,237,262,0,8.95,0.0,0.5,0.0,0.0,1.0,13.7,,,0.75
1191290,2,2025-08-14 17:23:44,2025-08-14 17:40:30,1.0,1.35,1.0,N,137,162,1,14.9,2.5,0.5,3.32,0.0,1.0,25.47,2.5,0.0,0.75
3517752,2,2025-08-30 11:05:56,2025-08-30 11:38:10,,5.75,,,255,7,0,23.4,0.0,0.5,0.0,0.0,1.0,24.9,,,0.0
1663876,1,2025-08-20 10:45:59,2025-08-20 10:52:30,1.0,0.9,1.0,N,186,234,2,7.9,3.25,0.5,0.0,0.0,1.0,12.65,2.5,0.0,0.75
1108362,1,2025-08-13 19:07:06,2025-08-13 19:14:02,1.0,0.9,1.0,N,141,229,1,8.6,5.75,0.5,2.0,0.0,1.0,17.85,2.5,0.0,0.75
3376856,2,2025-08-24 15:16:13,2025-08-24 15:24:11,,1.13,,,144,209,0,9.18,0.0,0.5,0.0,0.0,1.0,13.93,,,0.75
1037237,2,2025-08-13 07:11:49,2025-08-13 07:16:49,1.0,0.78,1.0,N,163,161,1,7.2,0.0,0.5,2.39,0.0,1.0,14.34,2.5,0.0,0.75
2830265,2,2025-08-05 08:45:54,2025-08-05 08:57:08,,0.88,,,231,261,0,8.78,0.0,0.5,0.0,0.0,1.0,13.53,,,0.75
2335669,2,2025-08-27 20:15:11,2025-08-27 20:52:55,1.0,14.65,1.0,N,132,146,1,58.3,1.0,0.5,6.0,0.0,1.0,68.55,0.0,1.75,0.0
3084955,2,2025-08-14 17:06:24,2025-08-14 17:49:54,,7.37,,,140,244,0,42.53,0.0,0.5,0.0,0.0,1.0,46.53,,,0.0
1102560,2,2025-08-13 18:19:25,2025-08-13 18:23:04,1.0,0.83,1.0,N,43,151,1,6.5,2.5,0.5,2.1,0.0,1.0,12.6,0.0,0.0,0.0
2201822,2,2025-08-26 13:52:14,2025-08-26 14:46:11,1.0,17.42,2.0,N,132,125,1,70.0,0.0,0.5,10.0,0.0,1.0,84.75,2.5,0.0,0.75
2396934,2,2025-08-28 14:47:52,2025-08-28 14:56:26,1.0,1.33,1.0,N,262,75,1,10.0,0.0,0.5,3.5,0.0,1.0,17.5,2.5,0.0,0.0
597506,2,2025-08-07 19:51:10,2025-08-07 20:40:18,1.0,17.75,2.0,N,132,161,1,70.0,5.0,0.5,17.34,6.94,1.0,105.78,2.5,1.75,0.75
1700488,2,2025-08-20 16:37:23,2025-08-20 17:26:21,1.0,9.84,1.0,N,132,39,2,50.6,2.5,0.5,0.0,0.0,1.0,56.35,0.0,1.75,0.0
1037632,1,2025-08-13 08:26:49,2025-08-13 09:03:38,1.0,13.7,1.0,N,140,26,1,56.9,3.25,0.5,5.0,6.94,1.0,73.59,2.5,0.0,0.75
2813371,2,2025-08-04 15:10:14,2025-08-04 15:21:22,,3.77,,,75,229,0,17.96,0.0,0.5,0.0,0.0,1.0,22.71,,,0.75
1552734,1,2025-08-18 22:19:49,2025-08-18 22:29:26,1.0,1.6,1.0,N,161,140,1,10.0,4.25,0.5,3.95,0.0,1.0,19.7,2.5,0.0,0.75
223692,2,2025-08-03 17:45:22,2025-08-03 17:55:58,1.0,1.83,1.0,N,143,237,1,12.1,0.0,0.5,1.0,0.0,1.0,17.85,2.5,0.0,0.75
1010569,2,2025-08-12 19:33:08,2025-08-12 19:53:39,1.0,2.58,1.0,N,90,148,2,19.1,2.5,0.5,0.0,0.0,1.0,26.35,2.5,0.0,0.75
1783988,2,2025-08-21 14:43:37,2025-08-21 15:13:32,1.0,7.13,1.0,N,132,139,2,33.1,0.0,0.5,0.0,0.0,1.0,36.35,0.0,1.75,0.0
2107966,1,2025-08-25 10:33:43,2025-08-25 10:59:03,1.0,3.9,1.0,N,68,236,1,23.3,3.25,0.5,5.6,0.0,1.0,33.65,2.5,0.0,0.75
